	MF.alv.Lu#2	MF.alv.Lu#3	MF.alv.Lu.KPd28#1	MF.alv.Lu.KPd28#2	MF.alv.Lu.KPd17#1	MF.alv.Lu.KPd28#3
0610009B22Rik	50	112	79	29	80	45
0610009O20Rik	52	75	58	40	42	44
0610010F05Rik	155	146	214	95	142	114
0610010K14Rik	6	8	0	2	2	4
0610012G03Rik	106	224	135	83	103	98
0610030E20Rik	4	1	5	1	4	7
0610037L13Rik	117	152	139	49	94	68
0610040J01Rik	3	1	1	0	0	1
1110002E22Rik	3	1	2	0	0	4
1110004E09Rik	30	49	40	15	26	16
1110004F10Rik	330	434	389	194	261	173
1110008F13Rik	15	58	57	33	34	36
1110008L16Rik	25	43	43	19	25	17
1110008P14Rik	103	188	165	90	84	83
1110012L19Rik	50	55	52	23	38	46
1110017D15Rik	3	0	1	0	1	2
1110025L11Rik	0	0	0	0	0	0
1110032A03Rik	57	109	77	28	41	36
1110032F04Rik	0	0	0	0	0	0
1110034G24Rik	60	95	77	23	51	34
1110038F14Rik	70	100	64	37	51	37
1110051M20Rik	78	150	153	41	102	56
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	157	223	210	121	141	122
1110059G10Rik	72	129	134	63	70	55
1110065P20Rik	0	0	1	0	1	1
1190002N15Rik	31	52	54	10	27	30
1190005I06Rik	1	2	4	2	0	0
1190007I07Rik	8	24	13	4	7	14
1300017J02Rik	1	1	0	0	0	0
1500009C09Rik	0	1	1	0	0	0
1500009L16Rik	0	1	0	0	3	1
1500011B03Rik	13	19	20	16	2	9
1500011K16Rik	31	41	38	13	27	20
1500015O10Rik	1	0	1	0	1	4
1520401A03Rik	3	0	1	0	0	3
1600002K03Rik	23	36	22	17	17	10
1600012H06Rik	333	343	371	154	298	148
1600014C10Rik	728	879	1033	594	612	530
1600014C23Rik	0	0	0	0	0	0
1600015I10Rik	1	5	2	1	0	3
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	0	0	3	1	0	1
1700001F09Rik	0	0	0	0	0	0
1700001J03Rik	0	0	1	0	1	0
1700001K19Rik	1	0	2	0	1	3
1700001L19Rik	0	0	0	0	0	0
1700001O22Rik	0	1	0	0	0	0
1700001P01Rik	0	1	0	1	1	3
1700003E16Rik	2	1	0	0	1	1
1700003F12Rik	3	6	6	2	1	6
1700003H04Rik	1	1	2	2	0	6
1700006A11Rik	3	0	6	1	0	3
1700006E09Rik	4	4	6	1	4	0
1700007G11Rik	0	1	0	1	0	0
1700007K09Rik	0	0	0	1	2	2
1700007K13Rik	1	0	1	0	1	0
1700008O03Rik	1	0	0	0	0	0
1700008P02Rik	1	0	0	0	1	1
1700009N14Rik	0	0	0	0	1	0
1700010B08Rik	0	0	0	0	0	0
1700010I14Rik	7	9	6	7	3	7
1700011H14Rik	2	2	2	0	4	2
1700011I03Rik	0	1	1	1	0	0
1700011L22Rik	2	0	2	0	0	0
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	1	1
1700012B07Rik	0	2	2	0	0	0
1700012B09Rik	0	0	0	0	0	0
1700012P22Rik	0	1	0	2	0	0
1700013D24Rik	0	0	1	0	0	2
1700013F07Rik	0	1	3	0	0	0
1700013G24Rik	0	0	0	0	1	0
1700013H16Rik	0	0	0	0	0	0
1700014D04Rik	0	0	1	1	0	2
1700015F17Rik	0	0	1	0	2	1
1700015G11Rik	0	0	3	0	0	0
1700016C15Rik	3	0	0	0	0	0
1700016D06Rik	0	3	0	0	0	2
1700016G14Rik	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0
1700016K19Rik	0	1	0	0	0	1
1700017B05Rik	282	306	244	182	170	215
1700017D01Rik	6	6	15	3	1	6
1700017N19Rik	0	0	1	0	1	2
1700018B08Rik	0	0	1	0	0	0
1700018F24Rik	0	1	0	0	0	1
1700018G05Rik	0	0	1	0	0	0
1700019A02Rik	0	0	2	0	0	2
1700019D03Rik	0	1	0	0	4	0
1700019N19Rik	0	1	1	0	0	1
1700020A23Rik	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0
1700020L24Rik	2	2	1	1	2	0
1700020N01Rik	2	8	2	3	4	1
1700020N15Rik	0	0	0	0	0	0
1700021F05Rik	60	83	74	28	51	41
1700021F07Rik	0	0	0	0	0	0
1700022I11Rik	3	1	2	0	3	2
1700023F06Rik	0	1	0	1	0	1
1700024B05Rik	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	3	1
1700024P04Rik	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0
1700025F22Rik	0	0	3	0	1	1
1700025G04Rik	2	3	4	1	3	1
1700027J19Rik	10	7	13	0	19	7
1700028J19Rik	4	3	3	2	4	1
1700028K03Rik	3	1	0	0	0	4
1700028P14Rik	0	0	0	0	3	0
1700029F12Rik	3	0	1	0	0	1
1700029H14Rik	0	0	1	3	0	2
1700029I15Rik	11	19	9	10	9	6
1700029J07Rik	2	3	2	0	0	0
1700029P11Rik	0	0	0	0	0	0
1700030J22Rik	2	3	2	0	1	2
1700030K09Rik	23	44	58	10	25	34
1700031F05Rik	1	0	0	0	0	0
1700031M16Rik	0	0	0	0	1	0
1700034E13Rik	2	1	0	0	0	1
1700034I23Rik	0	1	0	1	2	2
1700034J05Rik	3	4	7	1	3	5
1700037C18Rik	51	48	42	22	28	17
1700037H04Rik	107	192	149	45	73	77
1700040F15Rik	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0
1700047I17Rik1	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0
1700056E22Rik	1	2	0	0	0	0
1700057G04Rik	1	2	0	0	1	1
1700061G19Rik	5	11	8	9	6	15
1700064H15Rik	3	1	1	1	0	0
1700066B19Rik	0	6	4	0	3	2
1700066M21Rik	65	86	85	44	51	28
1700067K01Rik	3	8	0	0	2	2
1700067P10Rik	0	1	1	0	0	0
1700069L16Rik	0	2	0	0	0	0
1700074P13Rik	2	0	3	0	0	1
1700080E11Rik	0	2	0	0	0	0
1700080O16Rik	0	1	0	0	0	0
1700084M14Rik	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0
1700088E04Rik	2	1	0	1	1	0
1700092M07Rik	0	0	0	0	0	0
1700093K21Rik	0	1	2	0	0	0
1700102P08Rik	0	1	3	1	1	3
1700109H08Rik	16	21	15	9	14	6
1700113H08Rik	0	1	0	1	0	1
1700122O11Rik	0	0	0	0	0	0
1700123K08Rik	0	0	0	1	0	0
1700123L14Rik	0	1	0	0	0	0
1700123O20Rik	128	173	199	77	113	100
1700125H20Rik	0	0	1	0	1	2
1700129C05Rik	1	1	1	0	0	3
1810009A15Rik	0	1	0	2	2	0
1810009J06Rik	0	0	0	0	0	0
1810010D01Rik	3	0	4	1	0	1
1810010H24Rik	3	10	8	7	4	2
1810011H11Rik	126	290	311	102	133	130
1810013L24Rik	116	176	158	53	127	113
1810022K09Rik	74	153	88	52	68	57
1810024B03Rik	5	2	1	3	2	3
1810030O07Rik	240	389	379	117	262	128
1810032O08Rik	16	7	6	5	3	2
1810037I17Rik	130	292	212	76	146	176
1810041L15Rik	2	5	0	1	1	3
1810043G02Rik	59	71	77	59	52	86
1810046K07Rik	0	0	1	0	0	0
1810049J17Rik	0	0	0	0	0	0
1810055G02Rik	21	29	48	14	18	8
1810062G17Rik	1	0	1	0	1	1
1810065E05Rik	1	1	2	0	1	0
2010003K11Rik	0	0	0	0	0	0
2010005H15Rik	1	3	0	0	1	0
2010106E10Rik	0	1	1	0	1	3
2010107E04Rik	195	308	305	123	172	201
2010109A12Rik	1	0	2	2	0	2
2010109I03Rik	1	0	1	0	0	0
2010111I01Rik	186	260	265	217	168	219
2010300C02Rik	0	2	1	0	0	2
2010315B03Rik	4	4	4	0	4	4
2200002D01Rik	3	3	3	1	0	1
2200002J24Rik	0	1	0	0	0	0
2210010C04Rik	0	0	1	0	2	1
2210011C24Rik	0	0	4	1	0	1
2210016F16Rik	344	451	364	151	269	225
2210016L21Rik	66	124	82	37	55	56
2210017I01Rik	0	0	4	1	0	0
2210407C18Rik	0	0	0	0	1	1
2210408I21Rik	25	37	29	6	26	16
2210418O10Rik	0	0	1	0	0	0
2300002M23Rik	1	0	0	0	0	0
2300003K06Rik	0	0	3	0	0	1
2300009A05Rik	3	11	5	2	1	10
2310002L09Rik	0	0	0	0	0	1
2310003L06Rik	1	0	2	0	4	3
2310007B03Rik	1	0	2	0	0	0
2310009B15Rik	2	7	10	0	2	2
2310011J03Rik	173	232	184	101	148	107
2310022A10Rik	150	211	213	104	135	101
2310022B05Rik	17	17	16	17	9	18
2310030G06Rik	1	1	6	1	0	1
2310033P09Rik	26	47	44	11	21	18
2310034C09Rik	0	0	0	0	0	0
2310034G01Rik	2	0	7	1	4	1
2310035C23Rik	214	259	267	138	201	142
2310039H08Rik	7	28	13	13	15	25
2310046K23Rik	0	0	0	0	0	0
2310050C09Rik	1	0	0	0	0	0
2310057J18Rik	1	0	0	0	0	0
2310057M21Rik	76	70	78	30	55	57
2310057N15Rik	0	1	0	0	0	0
2310061I04Rik	71	98	83	44	54	51
2310061N02Rik	4	0	0	1	1	2
2310079G19Rik	0	0	0	1	0	0
2410002F23Rik	99	112	88	70	58	45
2410004B18Rik	67	118	86	48	96	66
2410004P03Rik	15	44	33	5	37	10
2410015M20Rik	132	249	216	81	114	137
2410089E03Rik	60	97	62	32	71	62
2410131K14Rik	61	38	42	32	47	31
2410137M14Rik	2	0	0	0	3	0
2410141K09Rik	0	0	0	0	0	0
2510002D24Rik	39	62	50	21	42	36
2510009E07Rik	47	89	159	76	59	50
2510039O18Rik	77	112	86	34	65	146
2610001J05Rik	241	344	384	136	259	201
2610002M06Rik	153	166	152	82	113	134
2610008E11Rik	73	62	60	25	56	38
2610021A01Rik	79	42	59	24	59	36
2610028H24Rik	2	0	0	0	0	0
2610042L04Rik	0	0	0	0	0	0
2610044O15Rik8	39	52	53	35	51	33
2610301B20Rik	103	80	131	42	75	39
2610318N02Rik	3	4	1	0	0	2
2610507B11Rik	295	397	442	191	251	200
2610524H06Rik	4	16	8	10	2	2
2610528A11Rik	0	1	6	0	1	3
2610528J11Rik	0	0	0	0	0	0
2700049A03Rik	42	59	60	20	33	33
2700062C07Rik	30	34	34	20	19	5
2700081O15Rik	0	4	2	2	1	4
2700097O09Rik	25	45	71	11	28	28
2810004N23Rik	83	95	120	55	68	82
2810006K23Rik	37	51	58	15	54	21
2810021J22Rik	39	40	48	22	27	24
2810403A07Rik	154	260	226	82	160	113
2810408A11Rik	11	15	14	9	7	7
2810459M11Rik	2	0	1	0	1	0
2810474O19Rik	327	628	646	255	417	283
2900011O08Rik	0	3	0	0	1	0
2900026A02Rik	3	3	1	1	4	1
2900055J20Rik	0	0	0	0	1	0
2900092C05Rik	1	3	2	3	1	0
3100002H09Rik	0	0	0	0	0	1
3110001I22Rik	16	24	22	13	9	9
3110002H16Rik	466	686	642	243	431	248
3110009E18Rik	8	7	5	1	6	4
3110018I06Rik	0	0	0	0	0	1
3110021N24Rik	0	0	0	0	0	0
3110035E14Rik	4	2	3	1	0	0
3110040M04Rik	0	0	0	0	0	0
3110040N11Rik	46	63	53	28	29	31
3110043O21Rik	254	258	414	164	196	211
3110062M04Rik	20	29	12	3	11	6
3110070M22Rik	1	2	0	0	0	2
3110079O15Rik	0	0	0	0	0	1
3110082I17Rik	131	145	141	70	88	94
3110082J24Rik	0	0	0	0	0	1
3300002I08Rik	4	16	16	6	11	10
3425401B19Rik	0	0	2	0	3	1
3632451O06Rik	4	5	1	2	1	5
3830403N18Rik	7	11	12	5	6	11
3830406C13Rik	163	223	239	92	174	61
3830417A13Rik	2	0	0	0	0	0
4430402I18Rik	4	1	1	1	1	1
4833420G17Rik	139	250	208	61	144	78
4833423E24Rik	2	3	1	1	1	0
4833427G06Rik	1	0	0	0	0	1
4833439L19Rik	362	394	422	184	263	139
4921501E09Rik	0	5	5	0	0	1
4921504E06Rik	2	2	3	0	1	2
4921507P07Rik	2	1	6	4	2	3
4921509C19Rik	1	0	1	0	0	0
4921511C20Rik	0	3	0	0	1	2
4921511M17Rik	0	0	0	0	0	0
4921517D22Rik	0	0	1	0	0	0
4921524J17Rik	35	42	29	14	26	21
4921524L21Rik	0	0	0	0	0	1
4921530L21Rik	0	0	0	0	0	2
4921536K21Rik	4	4	3	2	3	3
4921539E11Rik	0	0	1	0	0	0
4922502D21Rik	1	1	1	0	0	1
4930402F06Rik	0	0	0	0	0	0
4930402H24Rik	154	194	212	73	185	80
4930402K13Rik	0	0	0	0	1	0
4930404H24Rik	0	0	0	0	1	0
4930404N11Rik	5	5	7	4	8	5
4930407I10Rik	0	2	1	1	1	4
4930412O13Rik	0	0	0	0	0	0
4930415L06Rik	0	0	0	0	1	0
4930415O20Rik	0	0	0	0	0	1
4930426L09Rik	3	0	0	1	0	2
4930430A15Rik	2	0	1	1	1	2
4930430F08Rik	14	38	36	8	16	11
4930432K21Rik	7	9	7	0	1	0
4930432M17Rik	0	0	0	1	0	0
4930433I11Rik	0	0	0	0	0	0
4930435E12Rik	0	0	1	0	1	0
4930438A08Rik	0	0	1	0	0	1
4930442H23Rik	0	0	0	0	0	0
4930444G20Rik	0	0	0	0	0	1
4930444P10Rik	1	0	0	0	2	3
4930447A16Rik	0	0	0	0	2	0
4930447C04Rik	1	1	3	1	1	5
4930447F04Rik	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	0
4930451I11Rik	0	0	0	0	0	0
4930452B06Rik	0	1	0	0	2	5
4930453N24Rik	68	89	75	48	65	46
4930455H04Rik	0	3	0	0	0	0
4930467E23Rik	0	0	0	1	0	0
4930469K13Rik	7	6	13	3	11	2
4930470P17Rik	4	0	1	0	0	2
4930474N05Rik	1	0	0	0	0	0
4930480E11Rik	1	0	0	0	0	0
4930486L24Rik	0	0	1	0	0	0
4930502E18Rik	13	18	27	12	15	18
4930503B20Rik	0	0	0	0	0	0
4930503E14Rik	0	2	0	0	0	0
4930503L19Rik	251	209	197	68	232	74
4930504O13Rik	0	0	0	0	0	0
4930505A04Rik	1	3	0	1	0	2
4930507D05Rik	0	0	0	0	1	0
4930512M02Rik	2	2	0	0	0	1
4930513O06Rik	0	0	0	0	0	1
4930516K23Rik	0	1	2	0	0	4
4930518I15Rik	9	7	6	3	8	5
4930519G04Rik	2	1	0	0	0	6
4930519P11Rik	0	0	0	0	0	1
4930522H14Rik	0	2	0	0	0	0
4930522L14Rik	30	24	14	6	15	1
4930523C07Rik	161	169	290	58	191	28
4930524B15Rik	2	0	0	0	0	0
4930524J08Rik	0	5	0	1	0	1
4930524N10Rik	0	0	0	0	0	0
4930535I16Rik	0	0	0	0	0	0
4930539E08Rik	0	0	2	0	0	4
4930544D05Rik	0	1	0	0	1	0
4930544G11Rik	0	1	1	1	1	0
4930546C10Rik	0	0	0	0	0	0
4930548H24Rik	0	0	0	0	0	3
4930550C14Rik	0	0	0	1	1	4
4930550L24Rik	3	0	0	0	0	0
4930553J12Rik	0	0	1	0	0	1
4930553M12Rik	0	0	0	0	0	0
4930555G01Rik	0	0	0	0	0	0
4930556J24Rik	0	0	0	0	0	0
4930558C23Rik	0	0	0	0	0	0
4930558K02Rik	3	0	0	0	0	1
4930562C15Rik	8	7	1	0	7	2
4930563D23Rik	1	1	0	0	0	3
4930563M21Rik	0	0	3	0	1	4
4930564D02Rik	0	0	0	0	0	0
4930567H17Rik	0	0	1	0	0	0
4930568D16Rik	0	1	0	0	0	2
4930572O03Rik	0	0	0	0	0	0
4930578C19Rik	2	0	3	0	0	0
4930578G10Rik	0	0	0	0	0	0
4930578I06Rik	0	0	0	0	0	0
4930579F01Rik	0	2	0	1	0	1
4930579G24Rik	22	23	34	7	21	17
4930583I09Rik	1	0	0	0	0	0
4930590J08Rik	7	4	7	2	6	4
4930595D18Rik	1	1	0	1	1	2
4930595M18Rik	1	1	2	0	0	0
4930596D02Rik	0	0	0	0	0	2
4931400O07Rik	0	0	0	0	0	0
4931406B18Rik	2	2	4	2	0	0
4931406C07Rik	72	126	105	84	45	85
4931406P16Rik	55	73	78	24	57	22
4931408C20Rik	2	0	1	3	2	0
4931409K22Rik	0	2	2	0	0	1
4931414P19Rik	24	14	10	5	8	4
4931417E11Rik	0	0	1	0	1	2
4931422A03Rik	7	8	9	4	6	4
4931423N10Rik	1	0	2	0	0	4
4931428F04Rik	3	2	3	1	3	0
4931428L18Rik	2	2	1	4	0	9
4931429L15Rik	0	0	2	0	0	1
4931440F15Rik	1	3	0	2	0	4
4932411N23Rik	0	0	0	0	0	2
4932414N04Rik	3	2	8	2	6	4
4932415D10Rik	2	2	3	2	1	4
4932429P05Rik	3	0	0	0	0	1
4932438A13Rik	266	314	393	151	203	192
4932438H23Rik	1	0	2	0	0	1
4932443I19Rik	0	5	2	0	1	3
4933400A11Rik	1	0	2	0	1	0
4933402D24Rik	0	2	1	0	1	0
4933402E13Rik	0	0	0	0	1	0
4933402J07Rik	0	0	0	0	0	0
4933402N03Rik	1	0	0	0	0	0
4933402N22Rik	0	0	0	1	0	0
4933403O08Rik	0	0	0	0	0	0
4933405L10Rik	0	0	0	0	0	0
4933405O20Rik	0	0	0	0	0	0
4933406M09Rik	2	0	2	1	0	2
4933407L21Rik	8	13	11	0	5	2
4933408B17Rik	1	2	2	2	1	1
4933409G03Rik	0	0	1	0	0	0
4933411K16Rik	3	2	1	1	0	0
4933412E24Rik	0	0	0	0	0	0
4933413G19Rik	2	1	0	0	2	2
4933414I15Rik	0	1	0	0	0	0
4933415A04Rik	0	1	1	0	0	2
4933415F23Rik	0	0	0	0	0	0
4933416C03Rik	0	0	1	1	0	1
4933417A18Rik	2	0	0	0	0	0
4933421I07Rik	2	1	0	0	0	0
4933424G06Rik	0	1	2	0	0	0
4933425L06Rik	4	0	2	2	2	3
4933427D14Rik	28	50	43	21	37	24
4933427I04Rik	0	0	0	0	0	0
4933428G20Rik	5	1	0	0	2	1
4933428M09Rik	0	0	0	0	0	0
4933430I17Rik	1	0	2	2	2	2
4933434E20Rik	212	268	289	109	182	160
4933436I01Rik	2	0	0	2	0	0
5031410I06Rik	0	0	1	0	0	0
5031439G07Rik	170	193	210	110	135	153
5330417C22Rik	3	2	3	0	0	4
5330417H12Rik	0	0	0	0	0	0
5430401F13Rik	0	0	0	0	0	0
5430402E10Rik	0	0	0	0	0	0
5430403G16Rik	14	12	18	3	11	3
5430419D17Rik	3	0	3	0	0	6
5430427O19Rik	164	189	240	89	154	76
5530400C23Rik	0	1	0	0	0	0
5530401A14Rik	2	2	1	0	0	1
5730409E04Rik	41	45	36	13	41	27
5730455P16Rik	57	89	108	54	68	39
5730480H06Rik	19	54	64	23	25	26
5730507C01Rik	66	68	107	31	78	28
5730522E02Rik	5	4	4	4	2	6
5730559C18Rik	1	0	2	0	0	2
5730596B20Rik	0	0	0	0	0	0
5830411N06Rik	2	7	2	1	3	1
5830473C10Rik	1	3	2	0	0	1
5930422O12Rik	0	0	0	0	0	0
6030408B16Rik	0	0	1	1	0	1
6030419C18Rik	0	0	1	0	0	0
6030445D17Rik	3	2	0	0	3	1
6030452D12Rik	4	0	0	0	0	0
6030458C11Rik	104	130	116	51	96	48
6030468B19Rik	1	1	0	0	0	1
6030498E09Rik	0	0	0	0	0	3
6330409D20Rik	2	1	0	0	1	0
6430531B16Rik	0	0	0	0	0	0
6430548M08Rik	52	116	167	116	99	116
6430550D23Rik	6	5	9	4	9	6
6430571L13Rik	1	0	1	2	0	0
6430573F11Rik	8	2	1	0	3	2
6430628N08Rik	0	1	0	0	0	0
6720489N17Rik	194	246	251	94	201	113
6820408C15Rik	1	1	3	0	0	0
7420426K07Rik	0	0	0	0	0	1
7420461P10Rik	1	1	2	0	0	0
7530416G11Rik	0	1	0	0	0	0
8030411F24Rik	0	0	0	0	0	0
8030423J24Rik	0	2	0	0	0	0
8030462N17Rik	21	19	20	14	18	10
8030474K03Rik	0	0	2	0	0	4
8430408G22Rik	25	53	25	3	30	11
9030612E09Rik	0	0	0	0	0	0
9030624G23Rik	1	1	5	3	3	4
9030624J02Rik	397	458	667	217	305	193
9130008F23Rik	8	6	5	4	6	5
9130011E15Rik	52	88	98	56	61	50
9130019O22Rik	15	26	9	1	14	2
9130023H24Rik	15	21	23	10	24	19
9130204L05Rik	2	0	0	1	0	2
9130213A22Rik	1	2	3	0	0	0
9130230L23Rik	14	11	9	7	5	3
9130401M01Rik	60	83	78	27	68	50
9130409I23Rik	1	2	0	1	0	2
9230102O04Rik	0	1	0	0	0	0
9230104L09Rik	1	0	1	0	1	2
9230110C19Rik	0	4	1	0	1	1
9230110F15Rik	1	0	0	1	0	1
9230112D13Rik	0	3	1	0	1	0
9230113P08Rik	0	0	1	0	3	0
9330159F19Rik	4	0	3	1	6	5
9330161L09Rik	0	1	5	0	0	1
9330182L06Rik	3	1	1	1	3	6
9330182O14Rik	1	1	2	0	1	0
9430007A20Rik	0	0	1	0	0	0
9430015G10Rik	39	39	40	17	23	24
9430038I01Rik	73	69	101	43	65	76
9430069I07Rik	11	2	7	1	8	5
9430097D07Rik	2	1	0	0	0	3
9530002B09Rik	0	0	0	2	0	1
9530003J23Rik	1	1	0	2	1	2
9530053A07Rik	1	0	2	2	5	4
9530068E07Rik	925	1127	1426	563	854	382
9530077C05Rik	21	16	30	5	8	4
9630041A04Rik	3	1	1	0	1	0
9830107B12Rik	0	6	5	2	2	1
9930012K11Rik	6	10	1	3	4	0
9930021J03Rik	68	85	66	32	49	77
9930022D16Rik	1	1	6	0	3	0
9930104L06Rik	44	71	67	35	33	62
9930111J21Rik1	51	55	49	30	62	19
9930111J21Rik2	101	100	74	34	72	26
A030003K21Rik	0	0	0	0	0	0
A030005K14Rik	0	0	0	0	0	1
A030005L19Rik	4	3	0	0	0	3
A030014E15Rik	0	0	0	0	0	0
A130010J15Rik	33	41	49	14	42	19
A1bg	1	2	1	0	0	1
A1cf	0	1	4	1	1	1
A230050P20Rik	62	96	100	32	63	25
A230072I06Rik	2	0	0	0	0	0
A26c2	0	0	0	0	0	0
A2m	2	2	2	0	1	8
A2ml1	7	21	13	4	9	1
A330070K13Rik	0	0	1	0	0	0
A3galt2	2	3	1	1	2	1
A430005L14Rik	73	112	115	36	65	55
A430033K04Rik	50	33	34	16	31	15
A430078G23Rik	4	19	4	11	7	9
A430089I19Rik	0	0	0	0	0	0
A430105I19Rik	6	3	0	0	3	3
A4galt	5	0	0	1	1	0
A4gnt	0	2	2	0	1	3
A530016L24Rik	0	4	0	0	0	0
A530032D15Rik	1	0	1	0	1	0
A530064D06Rik	2	1	4	0	5	4
A530084C06Rik	0	0	0	0	0	0
A630001G21Rik	94	133	129	77	89	84
A630010A05Rik	0	0	0	0	3	1
A630023A22Rik	0	1	1	0	0	1
A630073D07Rik	0	1	2	0	1	1
A630076J17Rik	0	0	0	0	0	0
A630095E13Rik	3	2	1	0	0	0
A630095N17Rik	1	1	1	1	1	2
A730009L09Rik	0	0	0	0	0	0
A730015C16Rik	1	1	1	2	0	0
A730017C20Rik	0	1	13	0	0	2
A730046J19Rik	1	0	0	0	0	0
A730049H05Rik	0	1	1	0	1	5
A730061H03Rik	0	0	0	0	0	0
A730071L15Rik	0	2	0	0	1	1
A830005F24Rik	0	0	1	1	2	0
A830010M20Rik	4	11	8	7	6	3
A830018L16Rik	4	5	5	2	1	1
A830031A19Rik	0	0	0	1	1	0
A930002H24Rik	0	0	0	0	0	0
A930003A15Rik	0	0	1	0	0	0
A930004D18Rik	10	6	2	2	3	1
A930009A15Rik	0	0	1	0	0	0
A930017K11Rik	1	0	9	2	2	0
A930018P22Rik	0	0	0	1	0	1
A930033H14Rik	0	0	0	0	0	2
AA467197	2	2	11	25	2	21
AA792892	0	0	0	0	0	0
AA986860	1	6	8	0	0	0
AB124611	25	25	36	26	15	19
AF067061	0	0	0	0	1	2
AF067063	0	0	0	0	0	0
AF366264	1	1	0	0	0	2
AF529169	0	1	3	0	1	5
AI182371	1	0	3	0	1	1
AI314180	298	318	349	160	229	233
AI413582	195	372	252	124	172	142
AI429214	0	0	1	0	1	0
AI464131	2	1	1	0	1	1
AI467606	347	531	315	151	313	100
AI481877	6	4	0	0	8	4
AI593442	0	2	2	1	1	3
AI597479	86	130	126	56	96	51
AI606181	25	14	22	6	10	20
AI661453	2	0	0	0	0	0
AI837181	25	40	25	19	26	28
AI846148	6	8	6	2	6	8
AI854703	0	3	2	0	0	1
AI987944	174	185	203	99	132	101
AK157302	3	5	3	1	1	2
AU015836	0	2	0	0	2	0
AU018091	0	0	0	0	0	0
AU019823	39	42	41	23	44	26
AU021092	1	2	0	2	0	1
AU022252	32	43	58	25	33	33
AU022751	0	0	0	0	0	0
AU040320	155	181	186	84	111	79
AU041133	36	35	20	16	25	21
AV320801	0	0	0	0	0	0
AW011738	3	0	5	3	4	3
AW146154	36	41	46	17	34	32
AW209491	60	82	72	22	36	20
AW549877	155	132	202	112	141	52
AW551984	5	0	5	0	0	8
AW554918	43	48	60	22	36	26
AW822073	0	0	0	0	0	0
AY074887	0	1	0	0	0	0
AY358078	1	1	0	0	2	2
AY761184	0	0	0	0	0	0
AY761185	0	0	0	0	0	0
Aaas	95	145	130	62	84	55
Aacs	212	148	266	124	138	176
Aadac	0	0	3	1	1	0
Aadacl2	0	1	0	0	0	0
Aadacl3	5	1	2	0	0	1
Aadacl4	2	0	0	0	0	0
Aadat	1	1	1	0	1	1
Aaed1	236	298	321	155	226	104
Aagab	254	372	317	159	207	163
Aak1	88	153	120	57	103	111
Aamdc	53	90	50	26	45	34
Aamp	363	590	536	282	393	307
Aanat	3	1	0	0	0	0
Aar2	116	156	141	65	81	47
Aard	2	0	0	0	0	0
Aars	217	412	366	122	201	134
Aars2	66	82	74	31	70	25
Aarsd1	6	8	2	3	4	3
Aasdh	46	68	57	16	43	14
Aasdhppt	151	161	186	74	122	86
Aass	1	0	2	3	0	6
Aatf	99	154	176	45	105	89
Aatk	107	139	163	97	72	87
Abat	4	2	5	0	2	3
Abca1	288	465	593	89	455	121
Abca12	4	6	5	3	10	10
Abca13	4	13	25	1	9	10
Abca14	13	3	4	1	1	7
Abca15	1	4	1	1	2	6
Abca16	0	1	2	0	5	1
Abca17	6	2	8	2	2	7
Abca2	274	380	310	104	220	152
Abca3	213	248	266	135	191	109
Abca4	4	7	5	2	2	8
Abca5	8	8	11	3	9	4
Abca6	1	4	1	2	0	1
Abca7	186	244	206	107	154	159
Abca8a	5	2	10	1	1	5
Abca8b	1	5	3	0	2	3
Abca9	7	8	5	4	3	7
Abcb10	95	69	120	80	47	57
Abcb11	1	0	1	1	1	3
Abcb1a	8	4	8	3	3	1
Abcb1b	0	3	0	1	1	5
Abcb4	9	6	4	4	6	15
Abcb5	2	0	1	1	1	5
Abcb6	0	2	0	0	2	1
Abcb7	196	180	241	142	153	133
Abcb8	81	106	103	45	45	41
Abcb9	0	5	1	1	0	0
Abcc1	216	243	334	133	181	137
Abcc10	58	51	34	29	28	13
Abcc12	1	1	0	1	0	2
Abcc2	4	11	4	0	0	4
Abcc3	1	4	4	5	0	3
Abcc4	116	124	117	57	99	90
Abcc5	1770	1997	2176	972	1413	1058
Abcc6	1	3	2	0	0	1
Abcc8	3	1	4	2	1	2
Abcc9	5	6	8	0	2	9
Abcd1	277	364	457	183	279	145
Abcd2	1722	1686	1617	820	1292	495
Abcd3	226	280	327	87	229	100
Abcd4	105	119	150	64	61	49
Abce1	497	567	745	273	443	281
Abcf1	239	419	330	152	204	199
Abcf2	258	344	357	159	225	145
Abcf3	236	249	284	115	170	108
Abcg1	15071	27319	15729	3737	14339	2953
Abcg2	53	81	84	62	70	56
Abcg3	4	7	6	1	2	6
