	Mo.Ly6C+.Bl#1	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C+.Bl.KPd28#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd28#3
1700006A11Rik	4	4	0	2	7	0	0	2	3
1700006E09Rik	10	0	9	2	7	0	0	3	13
1700007G11Rik	2	2	0	3	0	0	0	0	2
1700007K09Rik	0	1	0	1	2	0	0	1	2
1700007K13Rik	4	0	0	0	0	0	0	0	0
1700008O03Rik	0	2	1	0	2	1	0	0	1
1700008P02Rik	1	0	0	0	0	0	0	0	3
1700009N14Rik	0	1	2	3	0	0	0	0	1
1700010B08Rik	0	0	1	0	1	0	0	1	0
1700010I14Rik	34	8	36	6	15	1	0	15	21
1700011H14Rik	4	11	0	0	10	3	0	2	8
1700011I03Rik	2	1	1	3	81	0	0	1	23
1700011L22Rik	2	1	2	0	4	0	0	1	1
1700011M02Rik	0	0	1	0	2	0	0	0	0
1700012A03Rik	1	1	1	0	4	2	0	2	1
1700012B07Rik	1	0	0	1	0	1	0	0	1
1700012B09Rik	8	1	1	0	1	1	0	0	0
1700012P22Rik	1	0	0	0	0	0	0	0	1
1700013D24Rik	4	2	0	0	3	0	0	2	2
1700013F07Rik	2	0	0	0	0	0	0	1	11
1700013G24Rik	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	1	0	0	0	1
1700014D04Rik	0	3	0	0	11	0	0	0	1
1700015F17Rik	1	1	1	0	2	0	0	0	4
1700015G11Rik	1	1	3	0	2	0	0	0	0
1700016C15Rik	4	2	3	0	2	0	0	0	4
1700016D06Rik	1	2	0	1	1	0	0	2	2
1700016G14Rik	1	1	0	1	2	2	0	1	1
1700016H13Rik	0	0	3	0	5	0	0	0	1
1700016K19Rik	0	0	0	0	0	0	0	0	2
1700017B05Rik	136	56	107	39	91	16	0	138	472
1700017D01Rik	4	10	6	1	7	0	0	8	6
1700017N19Rik	6	3	2	0	8	3	0	0	3
1700018B08Rik	1	0	0	1	0	0	0	0	0
1700018F24Rik	1	0	0	0	0	0	0	0	1
1700018G05Rik	0	0	2	0	0	0	0	0	0
1700019A02Rik	1	2	2	0	3	0	0	5	2
1700019D03Rik	10	8	5	0	6	1	0	0	2
1700019N19Rik	4	1	1	0	3	0	0	0	2
1700020A23Rik	0	0	0	2	0	0	0	0	0
1700020D05Rik	0	0	3	0	5	0	0	1	0
1700020L24Rik	5	1	3	2	2	0	0	2	3
1700020N01Rik	1	0	0	1	0	0	0	1	2
1700020N15Rik	0	0	0	0	0	0	0	0	0
1700021F05Rik	95	43	96	30	72	24	0	123	95
1700021F07Rik	0	0	0	0	0	0	0	0	0
1700022I11Rik	1	6	1	3	24	1	0	6	10
1700023F06Rik	5	0	4	0	3	2	0	1	0
1700024B05Rik	0	0	0	0	0	0	0	0	0
1700024G13Rik	4	0	0	0	0	0	0	0	0
1700024P04Rik	2	2	0	0	1	0	0	0	0
1700025B11Rik	1	0	3	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0
1700025F22Rik	2	0	3	1	0	0	0	7	7
1700025G04Rik	104	73	67	16	31	13	0	22	50
1700027J19Rik	4	2	2	2	0	0	0	12	1
1700028J19Rik	1	0	7	3	6	0	0	2	7
1700028K03Rik	2	6	0	0	4	3	0	5	14
1700028P14Rik	2	2	1	0	0	0	0	0	1
1700029F12Rik	2	2	0	0	2	0	0	2	0
1700029H14Rik	3	1	7	3	12	1	0	7	4
1700029I15Rik	9	3	12	5	3	3	0	11	7
1700029J07Rik	1	2	0	2	6	0	0	0	2
1700029P11Rik	0	1	0	0	3	0	0	0	1
1700030J22Rik	1	2	6	2	9	1	0	0	1
1700030K09Rik	45	23	45	8	39	4	0	27	51
1700031F05Rik	0	0	1	0	0	0	0	0	1
1700031M16Rik	2	2	1	0	0	0	0	5	0
1700034E13Rik	1	0	0	0	1	0	0	0	3
1700034I23Rik	4	1	0	0	3	0	0	3	1
