	Mo.Ly6C+.Lu#1	Mo.Ly6C+.Lu#2	Mo.Ly6C+.Lu#3	Mo.Ly6C+.Lu.KPd17#1	Mo.Ly6C+.Lu.KPd17#2	Mo.Ly6C+.Lu.KPd28#1	Mo.Ly6C+.Lu.KPd28#2	Mo.Ly6C+.Lu.KPd28#3
1810013L24Rik	288	253	175	177	253	194	216	280
1810022K09Rik	126	149	110	98	142	207	143	140
1810024B03Rik	1	4	13	4	7	9	10	6
1810030O07Rik	410	447	365	271	477	483	410	511
1810032O08Rik	28	33	16	12	28	29	45	28
1810037I17Rik	137	179	95	110	120	241	158	168
1810041L15Rik	1	2	0	0	2	4	3	1
1810043G02Rik	143	135	143	78	120	204	176	153
1810046K07Rik	4	2	0	0	0	3	1	0
1810049J17Rik	0	0	0	0	0	0	0	0
1810055G02Rik	42	34	17	33	27	50	46	30
1810062G17Rik	4	1	1	3	4	1	2	3
1810065E05Rik	0	1	0	0	0	1	0	0
2010003K11Rik	1	0	0	1	0	0	0	0
2010005H15Rik	0	0	0	1	0	0	9	0
2010106E10Rik	0	0	0	0	0	0	1	1
2010107E04Rik	354	433	265	320	337	544	279	292
2010109A12Rik	2	3	3	0	1	3	0	1
2010109I03Rik	1	5	2	0	4	0	4	2
2010111I01Rik	184	193	98	107	187	355	419	393
2010300C02Rik	5	6	1	0	2	1	2	0
2010315B03Rik	8	12	3	5	11	4	7	8
2200002D01Rik	3	2	1	0	0	2	0	2
2200002J24Rik	0	1	0	1	0	4	0	0
2210010C04Rik	1	0	0	0	5	1	5	4
2210011C24Rik	0	0	1	0	3	0	1	4
2210016F16Rik	450	494	336	316	404	444	396	493
2210016L21Rik	106	88	42	59	85	87	120	159
2210017I01Rik	0	0	1	3	0	0	0	1
2210407C18Rik	0	1	0	0	0	1	3	1
2210408I21Rik	11	11	6	21	24	18	15	25
2210418O10Rik	0	0	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	2	0	1	0	0	0
2300009A05Rik	13	10	9	13	11	9	10	16
2310002L09Rik	5	1	0	1	3	0	2	0
2310003L06Rik	4	0	0	0	4	0	2	0
2310007B03Rik	0	0	0	0	5	0	3	0
2310009B15Rik	82	72	45	53	50	82	53	51
2310011J03Rik	287	294	168	193	265	182	330	272
2310022A10Rik	273	353	255	261	327	331	353	366
2310022B05Rik	23	90	42	31	50	65	46	37
2310030G06Rik	0	0	0	0	7	0	7	1
2310033P09Rik	44	49	27	28	33	30	39	35
2310034C09Rik	1	2	0	0	0	0	0	0
2310034G01Rik	0	12	3	4	6	3	21	12
2310035C23Rik	640	850	450	553	668	482	738	768
2310039H08Rik	33	42	27	31	32	46	51	28
2310046K23Rik	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0
2310057J18Rik	0	0	2	2	1	0	3	2
2310057M21Rik	68	69	25	37	77	57	108	97
2310057N15Rik	0	0	0	0	0	0	1	0
2310061I04Rik	75	117	78	72	97	137	82	88
2310061N02Rik	4	2	0	1	1	0	0	0
2310079G19Rik	2	0	1	1	0	0	2	0
2410002F23Rik	89	117	70	68	140	56	164	123
2410004B18Rik	117	178	107	120	193	176	123	145
2410004P03Rik	37	31	18	25	30	19	21	8
2410015M20Rik	176	234	108	131	144	232	201	196
2410089E03Rik	126	116	73	90	116	98	150	146
2410131K14Rik	104	117	40	65	77	67	61	84
2410137M14Rik	0	1	1	0	0	0	0	0
2410141K09Rik	1	0	0	0	0	0	0	4
2510002D24Rik	24	41	12	31	43	30	17	22
2510009E07Rik	12	31	33	9	23	57	139	99
2510039O18Rik	54	111	50	33	105	87	78	65
2610001J05Rik	221	271	152	181	212	385	404	363
2610002M06Rik	169	204	125	119	180	163	205	243
2610008E11Rik	174	143	127	128	95	30	94	89
2610021A01Rik	104	70	52	81	63	61	56	124
2610028H24Rik	3	2	1	0	3	0	1	0
2610042L04Rik	0	0	2	0	0	1	1	2
2610044O15Rik8	95	76	31	45	89	45	133	121
2610301B20Rik	91	53	50	42	95	143	73	97
2610318N02Rik	0	2	0	1	0	1	7	2
2610507B11Rik	717	1047	567	513	758	522	968	951
2610524H06Rik	26	32	25	27	26	31	40	26
2610528A11Rik	7	6	2	2	7	8	7	8
2610528J11Rik	0	0	3	1	1	0	3	0
2700049A03Rik	85	105	53	56	103	66	104	93
